BRON:
KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)

SOURCE:
ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)

# Central Netherlands Temperature v6
# mean of De Bilt, Winterswijk/Hupsel, Oudenbosch/Gilze-Rijen, Gemert/Volkel, Deelen, Eindhoven
# breaks have been corrected to modern observations.
# CNT [Celsius]

YEAR,       Jan,          Feb,          Mar,          Apr,          May,          Jun,          Jul,          Aug,          Sep,          Oct,          Nov,          Dec    
 1906   3.32429       2.29741       3.78348       7.65619      12.42970      14.19980      16.74960      16.91690      13.29470      11.69020       7.56198      -0.21912
 1907   1.51254       0.40494       4.58511       7.41965      12.51660      13.55310      13.86190      15.46200      13.72270      11.26630       5.63488       3.13986
 1908  -1.24001       3.30636       3.43674       5.86811      12.98660      16.24550      16.60960      15.00950      13.36250       9.81094       4.28813       1.02190
 1909   0.55002       0.29838       2.95708       8.53574      11.30260      12.95620      14.53150      16.24490      12.97220      10.97730       3.93653       3.07201
 1910   3.27844       4.02948       5.25129       7.83671      12.45970      16.02780      15.11300      16.13270      13.28610      10.39700       3.35544       5.40469
 1911   0.83250       3.28808       5.15727       7.28200      13.68460      14.50020      18.61320      19.49310      14.59750       9.30932       5.79835       5.29657
 1912   1.81882       4.17400       7.37052       8.47697      11.80700      15.05840      18.29720      13.94220      10.38810       7.78942       5.08626       5.36394
 1913   2.38143       3.26760       6.93263       8.67877      12.54470      14.09330      14.51990      15.05820      13.65200      10.94450       8.33183       3.67049
 1914  -0.57258       5.76191       5.91797      10.17810      11.38490      14.09070      17.60870      17.32030      13.47590       9.71576       4.94341       4.93108
 1915   2.82003       3.01051       3.84782       7.43653      12.51300      15.91390      15.60480      15.57420      13.04730       7.55716       2.62615       5.15974
 1916   5.66458       2.60095       4.35429       8.71166      13.22890      11.99210      15.24200      16.22490      13.15290      10.13320       5.81606       2.60178
 1917  -0.99071      -1.83980       1.80657       4.51595      14.93060      17.92700      16.66960      16.19180      14.61100       7.76656       7.08580      -0.33860
 1918   2.80593       3.98345       4.62320       8.12692      13.99960      13.19610      16.03750      15.92550      13.07990       9.24344       4.24621       5.85844
 1919   1.92741       0.51401       4.04450       6.21955      13.65350      14.47850      13.81740      16.20130      14.61630       6.77677       1.72945       3.59097
 1920   4.03357       5.31222       7.37162       9.29134      13.02350      15.50000      16.26350      14.27050      13.25770       8.34075       3.10653       2.14107
 1921   5.98585       2.94406       6.65341       8.58148      13.37330      14.56080      18.26850      16.86480      14.20000      12.84670       1.04494       2.97892
